Date of Breach,Organization,Country,Industry,Type of Breach,Data Compromised,People Affected,Cause,Measures Taken,Attack Vector,Duration of Breach (Days),Detection Method,Time to Contain (Days),Financial Impact (Million $),Legal Actions Taken,Regulatory Fines (Million $),Compensation to Users,Public Trust Impact,Employee Involvement,Encryption Status,Third-party Involvement,CISO Resignation,Stock Price Impact (%),Lawsuits Filed,Recovery Cost (Million $),Breach Announced,User Notification
2011-06-25,Twitter,India,Finance,Phishing,"Usernames, SSNs, Phone Numbers",1491694,Phishing,Fined,Email,1671,Security Tool,77,190.91,No,5.55,Yes,Low,Accidental,Partially Encrypted,Yes,No,-43.04,76,79.65,Never Disclosed,Not Notified
2014-09-01,Adobe,France,Technology,Data Leak,"Passwords, Usernames",8458907,Data Leak,Security Patch,API Vulnerability,655,External Report,98,171.89,No,16.24,Yes,High,Accidental,Unencrypted,Yes,Yes,0.25,60,214.05,Immediately,Press Release
2002-06-25,Twitter,Brazil,Technology,Ransomware,"Usernames, Credit Cards",8149315,Ransomware,Legal Action,Web Exploit,2297,User Report,93,358.74,Yes,32.77,Yes,High,Malicious,Unencrypted,No,Yes,-45.44,21,133.73,Delayed,SMS
2022-12-18,Equifax,Australia,Hospitality,Malware,Usernames,6029989,Malware,Fined,Web Exploit,1394,Internal Audit,57,358.6,Yes,34.02,Yes,Low,Malicious,Encrypted,No,No,-18.52,35,251.07,Delayed,Press Release
2024-01-03,Target,Russia,Government,Unpatched Software,"SSNs, Credit Cards",3316939,Unpatched Software,Fined,USB Drive,2108,User Report,87,173.76,No,21.39,Yes,Low,Malicious,Unencrypted,Yes,Yes,-22.78,43,129.04,Immediately,Email
2009-05-28,Yahoo,Brazil,Finance,Malware,Usernames,3336072,Malware,Security Patch,USB Drive,3412,Security Tool,7,137.6,No,12.66,No,High,Malicious,Encrypted,No,Yes,-12.5,84,297.62,Immediately,Not Notified
2019-06-11,Google,UK,Finance,Data Leak,"Medical Records, Passwords, Credit Cards",9807507,Data Leak,Legal Action,USB Drive,2771,User Report,82,359.51,No,17.4,No,Medium,Accidental,Partially Encrypted,No,No,-16.07,39,192.09,Immediately,Email
2011-05-04,Yahoo,USA,Technology,Phishing,"Medical Records, Credit Cards, SSNs",1105844,Phishing,Fined,Social Engineering,1160,Law Enforcement,45,92.61,No,26.64,Yes,Low,Malicious,Encrypted,Yes,No,-35.04,40,41.24,Immediately,Not Notified
2002-03-08,Uber,China,Healthcare,Malware,"Emails, Passwords",699387,Malware,Customer Compensation,USB Drive,2713,Law Enforcement,44,302.18,No,42.93,No,Medium,Accidental,Unencrypted,Yes,No,-16.99,69,5.97,Never Disclosed,Email
2007-02-25,Yahoo,Canada,Hospitality,Data Leak,"Usernames, Passwords",1484363,Data Leak,Increased Monitoring,USB Drive,165,User Report,93,407.14,Yes,4.32,Yes,Low,None,Partially Encrypted,Yes,Yes,-35.77,64,234.93,Delayed,Email
2012-10-18,Marriott,India,Retail,Data Leak,"Credit Cards, Passwords, Phone Numbers",5260136,Data Leak,Customer Compensation,USB Drive,1553,External Report,34,181.86,Yes,27.32,Yes,High,Accidental,Partially Encrypted,No,No,-26.39,0,250.06,Delayed,SMS
2022-12-09,LinkedIn,India,Education,Insider Threat,"Usernames, Medical Records, Passwords",1938636,Insider Threat,Increased Monitoring,API Vulnerability,3330,Internal Audit,32,69.97,Yes,26.63,Yes,Low,Malicious,Partially Encrypted,Yes,No,-8.55,53,20.93,Never Disclosed,Email
2021-10-24,Target,Russia,Hospitality,Phishing,"Passwords, Usernames, SSNs",8834721,Phishing,Increased Monitoring,API Vulnerability,1751,Security Tool,68,34.71,Yes,35.07,No,Low,None,Partially Encrypted,Yes,No,-21.74,97,296.99,Immediately,Press Release
2007-09-27,LinkedIn,France,Telecom,Ransomware,SSNs,3038059,Ransomware,Customer Compensation,Email,2110,User Report,85,1.82,Yes,24.95,Yes,Medium,Accidental,Unencrypted,Yes,No,-14.4,70,158.34,Never Disclosed,Press Release
2018-06-15,Yahoo,Australia,Hospitality,Ransomware,Passwords,2499511,Ransomware,Legal Action,Email,107,Internal Audit,94,156.94,No,29.97,No,Low,Accidental,Partially Encrypted,Yes,Yes,-43.25,84,69.22,Never Disclosed,Not Notified
2013-01-01,LinkedIn,Australia,Government,Data Leak,Credit Cards,9098953,Data Leak,Fined,Web Exploit,2772,External Report,23,239.59,Yes,21.94,Yes,High,None,Encrypted,Yes,No,-39.44,53,15.55,Delayed,SMS
2019-05-21,Uber,Germany,Finance,Insider Threat,"Phone Numbers, Emails",159980,Insider Threat,Legal Action,USB Drive,1367,External Report,42,218.34,No,6.44,No,High,Malicious,Unencrypted,Yes,Yes,-41.68,7,156.69,Immediately,SMS
2011-07-22,Facebook,Australia,Telecom,Data Leak,"Usernames, Credit Cards, SSNs",6592021,Data Leak,Security Patch,Cloud Misconfig,2042,External Report,66,278.51,No,39.1,Yes,Low,Accidental,Unencrypted,Yes,No,-14.47,44,216.41,Delayed,Not Notified
2012-06-20,Uber,China,Technology,Phishing,Passwords,4185522,Phishing,Fined,API Vulnerability,246,User Report,8,326.86,Yes,40.97,No,High,Malicious,Unencrypted,Yes,No,-43.25,69,126.71,Immediately,Not Notified
2000-08-22,LinkedIn,Brazil,Government,Ransomware,"Phone Numbers, Medical Records, Passwords",5822467,Ransomware,Legal Action,Web Exploit,1661,User Report,28,21.98,Yes,23.06,No,Low,Accidental,Unencrypted,Yes,Yes,-46.04,45,133.66,Immediately,SMS
2020-04-27,LinkedIn,Australia,Hospitality,Unpatched Software,"SSNs, Usernames, Passwords",9359067,Unpatched Software,Fined,Cloud Misconfig,3034,Law Enforcement,45,440.61,Yes,32.45,No,Low,Accidental,Encrypted,Yes,No,0.36,7,68.25,Never Disclosed,Not Notified
2006-08-11,Equifax,Germany,Hospitality,Ransomware,Emails,9918237,Ransomware,Legal Action,Email,2407,User Report,97,128.38,No,25.93,No,Low,None,Partially Encrypted,Yes,Yes,-40.05,60,56.75,Never Disclosed,Email
2013-12-31,Yahoo,France,Retail,Data Leak,"Medical Records, Credit Cards, Passwords",1490942,Data Leak,Security Patch,API Vulnerability,3185,Security Tool,96,441.34,Yes,15.3,No,Low,None,Unencrypted,Yes,No,-10.78,10,111.06,Immediately,Press Release
2010-09-19,Adobe,China,Hospitality,Unpatched Software,"Passwords, Phone Numbers, Medical Records",1980918,Unpatched Software,Fined,Social Engineering,2825,External Report,41,92.61,No,3.73,No,Medium,Malicious,Partially Encrypted,Yes,Yes,-40.51,41,3.07,Delayed,Not Notified
2012-02-22,Adobe,Germany,Government,Insider Threat,SSNs,8286229,Insider Threat,Fined,API Vulnerability,2627,Security Tool,39,362.07,No,32.83,No,Medium,Malicious,Encrypted,No,No,-9.5,66,196.65,Delayed,SMS
2017-10-12,Google,Canada,Retail,Phishing,"Phone Numbers, Credit Cards, Emails",3617529,Phishing,Security Patch,API Vulnerability,72,Law Enforcement,18,105.07,No,38.26,No,Low,Accidental,Partially Encrypted,Yes,No,-26.73,33,162.56,Never Disclosed,Press Release
2017-03-28,LinkedIn,France,Government,Ransomware,"SSNs, Medical Records, Phone Numbers",6707940,Ransomware,Fined,USB Drive,2680,User Report,46,264.39,Yes,25.12,No,High,Malicious,Unencrypted,Yes,No,-31.73,40,25.73,Never Disclosed,Press Release
2014-01-29,Twitter,Russia,Telecom,Insider Threat,"Usernames, Phone Numbers",1666262,Insider Threat,Increased Monitoring,Cloud Misconfig,1609,Internal Audit,36,209.45,No,20.54,Yes,Low,Malicious,Encrypted,No,Yes,6.4,37,211.42,Immediately,Not Notified
2019-10-27,Adobe,France,Hospitality,Malware,"Phone Numbers, Emails, SSNs",4170808,Malware,Customer Compensation,API Vulnerability,491,User Report,54,22.71,Yes,19.68,No,Low,None,Partially Encrypted,Yes,No,7.05,53,37.7,Never Disclosed,Press Release
2016-08-30,Google,Canada,Hospitality,Weak Passwords,"Usernames, SSNs, Credit Cards",7182633,Weak Passwords,Security Patch,Social Engineering,3163,Internal Audit,49,286.35,Yes,47.71,No,Medium,None,Partially Encrypted,Yes,No,-45.55,56,111.76,Immediately,Email
2004-01-20,LinkedIn,Canada,Telecom,Malware,"Passwords, Phone Numbers",2845757,Malware,Customer Compensation,Cloud Misconfig,3196,External Report,38,372.62,Yes,19.66,Yes,Medium,Accidental,Encrypted,No,No,-23.13,43,282.45,Never Disclosed,Press Release
2012-05-05,Adobe,UK,Education,Data Leak,"Medical Records, Emails",4115523,Data Leak,Public Disclosure,USB Drive,3015,Security Tool,74,455.78,No,22.48,Yes,Medium,Malicious,Encrypted,No,No,-34.03,4,99.57,Immediately,Press Release
2008-03-04,Adobe,Germany,Healthcare,Phishing,"Phone Numbers, Credit Cards, Passwords",1782720,Phishing,Fined,Web Exploit,2229,User Report,87,267.5,No,9.68,No,High,Malicious,Unencrypted,No,No,-33.29,95,159.58,Delayed,Not Notified
2015-11-30,Equifax,Canada,Finance,Weak Passwords,"Credit Cards, Phone Numbers, Medical Records",6658653,Weak Passwords,Fined,Email,1684,Security Tool,2,488.59,No,30.19,Yes,High,Malicious,Partially Encrypted,No,Yes,-0.87,58,278.22,Immediately,Not Notified
2010-08-14,Adobe,France,Retail,Data Leak,Phone Numbers,3197529,Data Leak,Legal Action,Cloud Misconfig,2714,Internal Audit,62,113.43,Yes,6.93,No,Low,None,Partially Encrypted,No,No,-42.18,40,209.48,Never Disclosed,SMS
2012-08-24,Uber,Germany,Hospitality,Phishing,"Usernames, Emails, Passwords",2159199,Phishing,Customer Compensation,API Vulnerability,318,Law Enforcement,1,399.23,Yes,12.6,No,Low,Accidental,Unencrypted,No,No,-34.69,57,168.53,Delayed,Press Release
2020-09-15,Equifax,Germany,Hospitality,Data Leak,"Emails, Usernames, Passwords",8619537,Data Leak,Fined,Email,2525,External Report,18,319.32,Yes,20.54,Yes,Medium,None,Encrypted,Yes,Yes,-20.83,38,69.08,Delayed,Not Notified
2006-05-31,LinkedIn,UK,Technology,Phishing,"Emails, Medical Records",7877763,Phishing,Customer Compensation,Social Engineering,2066,Internal Audit,7,394.64,No,28.87,Yes,Medium,Malicious,Encrypted,No,No,-39.27,87,271.21,Never Disclosed,Press Release
2010-02-22,Yahoo,Australia,Government,Data Leak,Credit Cards,1582694,Data Leak,Legal Action,Cloud Misconfig,1915,User Report,96,297.11,No,25.12,No,Medium,Accidental,Unencrypted,No,No,-38.9,51,252.22,Delayed,Press Release
2013-07-17,Yahoo,Canada,Healthcare,Unpatched Software,"Phone Numbers, Passwords",6284091,Unpatched Software,Fined,Email,1132,Law Enforcement,94,139.04,No,15.14,Yes,Medium,Accidental,Encrypted,No,No,-48.86,68,148.89,Immediately,Press Release
2013-03-19,Uber,USA,Healthcare,Insider Threat,Emails,9002191,Insider Threat,Public Disclosure,Social Engineering,2574,Internal Audit,47,255.22,No,27.16,No,Low,None,Unencrypted,Yes,No,-22.83,66,75.51,Delayed,Not Notified
2024-10-12,Equifax,UK,Healthcare,Weak Passwords,"Credit Cards, Passwords, Phone Numbers",6736254,Weak Passwords,Public Disclosure,Social Engineering,702,Law Enforcement,44,334.15,No,43.92,No,High,Malicious,Partially Encrypted,Yes,No,-27.98,99,247.66,Immediately,Press Release
2011-04-29,Adobe,India,Healthcare,Ransomware,"Medical Records, Emails, Passwords",8809598,Ransomware,Legal Action,API Vulnerability,1560,User Report,42,327.11,Yes,21.57,No,High,Accidental,Partially Encrypted,No,No,-39.44,58,277.01,Never Disclosed,SMS
2020-02-28,LinkedIn,Canada,Technology,Insider Threat,"Emails, Usernames, Credit Cards",1880083,Insider Threat,Increased Monitoring,Web Exploit,2083,User Report,25,409.37,Yes,30.47,No,High,Accidental,Unencrypted,No,Yes,1.02,56,234.17,Delayed,Press Release
2011-10-10,Target,Canada,Finance,Weak Passwords,"Emails, Usernames",2549921,Weak Passwords,Fined,Web Exploit,76,Security Tool,73,265.09,Yes,20.53,Yes,Low,None,Unencrypted,No,Yes,-37.09,93,244.11,Immediately,Email
2014-12-14,Target,Canada,Hospitality,Phishing,"Phone Numbers, Credit Cards, Emails",1032026,Phishing,Public Disclosure,Email,1923,Law Enforcement,33,158.91,Yes,23.0,No,Medium,None,Unencrypted,No,No,-7.48,67,283.49,Delayed,Email
2018-01-11,Target,France,Hospitality,Weak Passwords,SSNs,9160229,Weak Passwords,Increased Monitoring,Cloud Misconfig,2797,Security Tool,75,120.37,Yes,5.95,No,Medium,None,Encrypted,Yes,No,-47.94,1,62.0,Immediately,Press Release
2015-04-20,Twitter,China,Finance,Malware,Passwords,6630040,Malware,Public Disclosure,Email,56,User Report,18,47.47,Yes,0.93,Yes,Medium,Malicious,Partially Encrypted,No,No,-18.52,73,238.82,Delayed,Not Notified
2011-09-21,Uber,Brazil,Government,Malware,"Usernames, SSNs, Emails",8176051,Malware,Public Disclosure,USB Drive,788,Security Tool,69,322.2,Yes,12.68,No,Medium,Malicious,Unencrypted,No,No,-28.64,20,124.28,Never Disclosed,SMS
2013-08-21,Marriott,Brazil,Finance,Phishing,"Emails, Medical Records, Credit Cards",1902194,Phishing,Legal Action,Social Engineering,3239,Security Tool,2,394.42,No,9.45,No,High,Accidental,Partially Encrypted,No,No,-1.19,99,97.55,Immediately,Email
2009-05-08,Yahoo,France,Retail,Malware,"Credit Cards, Emails, Passwords",6507547,Malware,Customer Compensation,USB Drive,655,Internal Audit,18,149.96,Yes,10.16,No,Low,None,Encrypted,Yes,No,-11.13,98,76.69,Never Disclosed,Press Release
2012-12-30,Yahoo,India,Retail,Phishing,"Phone Numbers, Passwords",9206967,Phishing,Security Patch,Email,2175,Law Enforcement,85,491.38,Yes,37.32,No,Medium,Malicious,Encrypted,No,No,-4.63,51,61.39,Immediately,SMS
2019-07-01,Yahoo,USA,Government,Unpatched Software,"Phone Numbers, Usernames, Passwords",2913829,Unpatched Software,Fined,USB Drive,1593,Security Tool,48,74.43,Yes,8.52,Yes,High,None,Partially Encrypted,No,Yes,6.98,43,92.94,Never Disclosed,SMS
2023-07-17,Yahoo,UK,Telecom,Unpatched Software,Emails,6991702,Unpatched Software,Customer Compensation,Email,3624,Internal Audit,93,111.04,Yes,20.95,Yes,Low,None,Encrypted,No,Yes,-43.41,70,286.11,Immediately,Not Notified
2008-09-28,Google,China,Healthcare,Weak Passwords,"SSNs, Usernames, Passwords",2207983,Weak Passwords,Increased Monitoring,USB Drive,1751,User Report,33,383.92,No,6.4,No,Medium,None,Unencrypted,Yes,Yes,4.36,57,83.0,Never Disclosed,Press Release
2000-03-05,Google,China,Telecom,Insider Threat,"Passwords, Usernames",8485639,Insider Threat,Customer Compensation,USB Drive,2621,Internal Audit,49,75.36,Yes,2.35,Yes,Medium,None,Encrypted,No,No,-34.75,82,171.11,Immediately,Press Release
2006-08-28,Marriott,Brazil,Education,Ransomware,"Medical Records, Phone Numbers, SSNs",9542753,Ransomware,Fined,Cloud Misconfig,1613,Law Enforcement,9,362.02,Yes,23.58,Yes,High,Malicious,Partially Encrypted,Yes,No,-29.03,33,44.05,Immediately,Not Notified
2005-08-12,LinkedIn,France,Telecom,Unpatched Software,"Passwords, SSNs, Usernames",8281275,Unpatched Software,Public Disclosure,USB Drive,1726,Internal Audit,2,140.44,No,0.24,Yes,Low,Malicious,Partially Encrypted,Yes,Yes,-24.64,70,236.97,Immediately,Email
2021-08-08,Google,Canada,Finance,Ransomware,Passwords,5549108,Ransomware,Fined,API Vulnerability,1133,Law Enforcement,36,139.45,Yes,22.76,No,Medium,Malicious,Partially Encrypted,No,Yes,-34.72,7,135.86,Delayed,Press Release
2014-01-01,Adobe,USA,Telecom,Insider Threat,"Credit Cards, SSNs, Phone Numbers",9238270,Insider Threat,Increased Monitoring,Email,2174,User Report,21,11.4,No,49.98,Yes,Low,Accidental,Unencrypted,Yes,No,-46.58,96,23.26,Delayed,Not Notified
2018-03-11,Adobe,Russia,Government,Ransomware,"Emails, Phone Numbers, SSNs",9094483,Ransomware,Fined,Social Engineering,905,Internal Audit,96,455.76,Yes,47.62,No,High,Malicious,Encrypted,No,Yes,-45.0,84,31.0,Never Disclosed,SMS
2022-07-08,LinkedIn,France,Education,Unpatched Software,"Emails, SSNs, Usernames",7557824,Unpatched Software,Legal Action,USB Drive,1312,Law Enforcement,17,309.35,No,16.52,No,Low,Accidental,Partially Encrypted,Yes,No,9.27,25,131.9,Delayed,SMS
2009-04-12,Target,UK,Finance,Insider Threat,Credit Cards,8342852,Insider Threat,Legal Action,Cloud Misconfig,1338,Security Tool,56,265.09,No,12.36,No,High,None,Partially Encrypted,No,Yes,-2.02,45,205.07,Immediately,SMS
2001-03-02,Yahoo,Germany,Technology,Phishing,"Medical Records, Usernames",6174231,Phishing,Public Disclosure,Cloud Misconfig,2195,Law Enforcement,80,256.62,Yes,40.96,Yes,Medium,Malicious,Unencrypted,No,Yes,7.65,34,274.57,Delayed,Press Release
2017-04-06,Facebook,China,Technology,Phishing,"Passwords, SSNs, Phone Numbers",2123904,Phishing,Public Disclosure,Social Engineering,3439,Security Tool,84,162.91,No,34.54,Yes,High,None,Unencrypted,Yes,Yes,-31.45,56,75.08,Immediately,Not Notified
2010-05-28,Facebook,France,Healthcare,Phishing,"Phone Numbers, Medical Records",8143122,Phishing,Legal Action,Web Exploit,1032,Security Tool,10,199.19,No,19.56,No,Medium,Malicious,Encrypted,No,Yes,-4.04,95,13.44,Immediately,Press Release
2020-05-26,Yahoo,India,Technology,Malware,Medical Records,5785808,Malware,Increased Monitoring,Cloud Misconfig,768,Security Tool,84,427.22,No,15.7,Yes,Low,Accidental,Partially Encrypted,No,No,-30.94,6,96.15,Delayed,Email
2021-08-27,Google,Germany,Retail,Insider Threat,"Passwords, Usernames, Emails",3338579,Insider Threat,Customer Compensation,API Vulnerability,2634,Internal Audit,98,351.31,No,20.75,No,Medium,None,Partially Encrypted,No,Yes,-37.01,82,244.11,Delayed,Not Notified
2022-01-18,Adobe,Russia,Finance,Ransomware,"Medical Records, Emails, Passwords",7821539,Ransomware,Public Disclosure,Social Engineering,2324,External Report,87,8.98,No,37.35,Yes,Low,Accidental,Partially Encrypted,No,Yes,3.94,73,246.5,Never Disclosed,SMS
2010-06-12,Equifax,Brazil,Government,Data Leak,Medical Records,1247662,Data Leak,Public Disclosure,API Vulnerability,2852,Law Enforcement,81,299.73,No,38.96,Yes,Low,Malicious,Partially Encrypted,No,Yes,-24.85,93,284.86,Never Disclosed,SMS
2023-02-26,Uber,Brazil,Government,Unpatched Software,Passwords,8135528,Unpatched Software,Increased Monitoring,API Vulnerability,995,User Report,40,43.95,No,43.14,No,Low,None,Unencrypted,No,No,9.1,4,280.29,Immediately,Email
2008-02-04,Yahoo,Germany,Government,Unpatched Software,Emails,2732222,Unpatched Software,Legal Action,Cloud Misconfig,3080,Security Tool,93,162.72,Yes,16.52,Yes,High,Accidental,Unencrypted,No,Yes,-16.38,35,208.93,Delayed,Press Release
2019-10-18,Target,Brazil,Education,Ransomware,Credit Cards,1929409,Ransomware,Customer Compensation,USB Drive,2783,User Report,7,493.09,No,8.03,No,High,Accidental,Partially Encrypted,No,No,-13.11,34,116.31,Delayed,Press Release
2021-03-08,LinkedIn,USA,Government,Insider Threat,"Medical Records, Phone Numbers",2757542,Insider Threat,Increased Monitoring,Web Exploit,1959,User Report,30,443.61,Yes,39.82,No,Low,Malicious,Encrypted,No,Yes,-45.44,42,233.0,Never Disclosed,SMS
2022-11-06,Google,Australia,Government,Phishing,"Credit Cards, Medical Records, SSNs",9030042,Phishing,Increased Monitoring,USB Drive,213,User Report,97,235.12,Yes,43.87,No,Low,Accidental,Encrypted,No,No,-19.59,43,32.08,Never Disclosed,Not Notified
2002-12-31,Equifax,Germany,Finance,Weak Passwords,"Credit Cards, SSNs",8171429,Weak Passwords,Customer Compensation,Email,2039,Security Tool,28,454.17,No,5.81,No,Low,Malicious,Partially Encrypted,No,No,-0.51,31,111.2,Never Disclosed,SMS
2024-04-09,Twitter,Canada,Education,Malware,"SSNs, Passwords",4858345,Malware,Security Patch,Email,2807,User Report,70,177.59,No,48.72,No,Medium,Malicious,Unencrypted,No,No,5.62,75,199.87,Never Disclosed,Email
2005-09-27,Target,Brazil,Hospitality,Data Leak,"Usernames, Phone Numbers",1896245,Data Leak,Increased Monitoring,API Vulnerability,3121,Law Enforcement,77,384.36,No,15.16,Yes,Medium,None,Encrypted,No,Yes,-46.56,7,117.27,Immediately,Not Notified
2020-10-03,Adobe,Brazil,Technology,Weak Passwords,SSNs,1467743,Weak Passwords,Fined,USB Drive,1032,Security Tool,25,144.04,No,22.87,Yes,Low,None,Unencrypted,Yes,Yes,-25.53,85,216.91,Never Disclosed,Not Notified
2016-02-01,Equifax,China,Education,Phishing,Credit Cards,489204,Phishing,Customer Compensation,Social Engineering,915,User Report,14,380.49,No,46.34,Yes,Medium,Accidental,Encrypted,No,Yes,-39.17,76,253.61,Immediately,Email
2020-11-19,Twitter,China,Finance,Insider Threat,Passwords,1739892,Insider Threat,Legal Action,Email,1294,Security Tool,69,319.05,Yes,11.43,Yes,Low,Accidental,Encrypted,No,No,-12.78,46,275.3,Immediately,Press Release
2014-08-16,LinkedIn,France,Technology,Unpatched Software,Passwords,5190169,Unpatched Software,Security Patch,Email,177,Law Enforcement,42,237.94,Yes,40.13,Yes,High,Malicious,Encrypted,Yes,Yes,-7.43,92,51.22,Never Disclosed,Email
2006-12-07,Equifax,Russia,Government,Unpatched Software,"Phone Numbers, Credit Cards, Emails",7042126,Unpatched Software,Fined,Cloud Misconfig,2919,Law Enforcement,12,316.67,Yes,5.37,No,High,Accidental,Encrypted,No,Yes,-41.94,6,39.33,Delayed,Press Release
2015-10-02,Marriott,Canada,Technology,Insider Threat,"SSNs, Medical Records, Credit Cards",558945,Insider Threat,Fined,API Vulnerability,2634,Internal Audit,52,249.24,No,27.42,No,High,Malicious,Unencrypted,No,No,-6.77,54,159.9,Immediately,Email
2001-09-12,Google,Germany,Telecom,Malware,"SSNs, Credit Cards, Passwords",5917136,Malware,Public Disclosure,Cloud Misconfig,761,User Report,87,337.53,No,12.21,Yes,Low,Malicious,Partially Encrypted,No,No,-0.36,46,250.06,Immediately,Press Release
2004-02-01,Yahoo,France,Telecom,Data Leak,"Medical Records, Emails",6887046,Data Leak,Security Patch,API Vulnerability,1808,Law Enforcement,42,441.34,No,5.82,Yes,Medium,None,Unencrypted,Yes,Yes,-0.31,66,213.32,Delayed,SMS
2007-08-05,Equifax,Canada,Technology,Data Leak,"SSNs, Medical Records",8250500,Data Leak,Public Disclosure,USB Drive,1052,Security Tool,30,104.38,No,8.86,No,Low,Accidental,Partially Encrypted,No,No,-37.68,68,65.19,Delayed,SMS
2000-11-18,Uber,Canada,Technology,Malware,SSNs,9834314,Malware,Legal Action,Social Engineering,2114,User Report,95,132.75,No,25.24,No,High,None,Partially Encrypted,No,No,-46.04,43,162.56,Delayed,Press Release
2014-04-11,Uber,Canada,Government,Malware,SSNs,1160813,Malware,Fined,Email,78,Law Enforcement,58,426.06,No,11.35,No,Medium,None,Encrypted,No,No,-46.55,42,183.03,Delayed,Press Release
2007-05-12,Facebook,Russia,Technology,Malware,Phone Numbers,392392,Malware,Increased Monitoring,Social Engineering,1705,External Report,76,414.7,Yes,31.78,Yes,High,None,Partially Encrypted,No,No,-19.86,41,257.26,Never Disclosed,Not Notified
2022-05-16,Yahoo,Germany,Retail,Ransomware,"SSNs, Passwords",7362643,Ransomware,Fined,Email,2755,External Report,43,323.54,Yes,19.6,Yes,Low,None,Unencrypted,No,No,-17.67,72,90.62,Immediately,Not Notified
2000-10-05,Adobe,France,Education,Data Leak,"Usernames, Phone Numbers, Passwords",5922152,Data Leak,Legal Action,Web Exploit,2747,Internal Audit,68,450.16,Yes,13.24,No,High,Malicious,Partially Encrypted,Yes,No,-33.58,56,265.37,Never Disclosed,Press Release
2010-05-25,Adobe,India,Government,Phishing,"Medical Records, Emails",947011,Phishing,Customer Compensation,API Vulnerability,747,Internal Audit,10,170.75,Yes,15.16,Yes,Medium,None,Encrypted,No,Yes,-24.85,87,90.65,Immediately,Email
2021-01-06,Target,Germany,Retail,Insider Threat,Phone Numbers,4219465,Insider Threat,Security Patch,Social Engineering,430,Security Tool,69,129.64,Yes,16.24,No,Medium,None,Encrypted,Yes,Yes,-7.58,31,173.33,Immediately,Email
2024-05-05,LinkedIn,UK,Healthcare,Data Leak,Usernames,7194006,Data Leak,Security Patch,USB Drive,532,Security Tool,46,270.65,No,34.39,No,Low,None,Encrypted,Yes,Yes,-6.25,76,149.53,Delayed,SMS
2016-08-24,Uber,France,Telecom,Malware,"Emails, Medical Records",9231904,Malware,Legal Action,Social Engineering,334,External Report,21,42.44,No,32.67,No,Medium,Accidental,Unencrypted,No,Yes,-28.63,40,215.4,Immediately,Press Release
2009-06-17,Adobe,Russia,Telecom,Unpatched Software,Credit Cards,8197316,Unpatched Software,Fined,USB Drive,2714,Law Enforcement,53,366.86,Yes,11.85,Yes,Low,Accidental,Unencrypted,No,No,8.33,5,162.56,Immediately,Email
2007-11-03,Google,Russia,Healthcare,Data Leak,Phone Numbers,9571930,Data Leak,Public Disclosure,Email,650,Law Enforcement,72,408.92,No,39.05,Yes,Medium,Accidental,Unencrypted,Yes,No,-35.87,10,63.49,Never Disclosed,Email
2001-03-18,Target,Australia,Technology,Insider Threat,"Phone Numbers, SSNs, Credit Cards",4552468,Insider Threat,Fined,Social Engineering,200,Security Tool,66,433.72,No,21.03,No,High,Accidental,Partially Encrypted,Yes,Yes,-37.44,17,294.9,Never Disclosed,Press Release
2022-10-25,Marriott,USA,Retail,Insider Threat,"Credit Cards, Phone Numbers, SSNs",7143693,Insider Threat,Legal Action,API Vulnerability,670,Internal Audit,73,164.41,No,30.54,Yes,Low,None,Partially Encrypted,Yes,Yes,-9.9,62,108.02,Immediately,SMS
2000-07-07,Adobe,China,Healthcare,Unpatched Software,"Emails, Credit Cards, Medical Records",3552851,Unpatched Software,Security Patch,Cloud Misconfig,54,User Report,97,228.25,No,30.19,No,Medium,Accidental,Encrypted,Yes,No,-11.26,30,69.37,Immediately,Email
2020-03-04,Adobe,China,Education,Malware,"Medical Records, Phone Numbers",5318177,Malware,Public Disclosure,USB Drive,56,External Report,2,22.27,Yes,41.49,Yes,High,None,Partially Encrypted,Yes,Yes,-11.46,56,255.83,Delayed,SMS
2017-10-01,Uber,UK,Retail,Insider Threat,"Passwords, Credit Cards, SSNs",3739372,Insider Threat,Public Disclosure,API Vulnerability,3189,Law Enforcement,71,7.27,No,0.31,No,High,Accidental,Unencrypted,No,Yes,-27.94,33,151.16,Delayed,Not Notified
2002-05-11,Yahoo,USA,Hospitality,Ransomware,Phone Numbers,9689078,Ransomware,Increased Monitoring,Social Engineering,2909,User Report,8,92.61,Yes,48.72,Yes,Low,Accidental,Encrypted,Yes,Yes,-6.84,3,225.01,Immediately,Email
2024-04-26,Yahoo,USA,Finance,Insider Threat,"Phone Numbers, Credit Cards, Emails",8524069,Insider Threat,Increased Monitoring,Web Exploit,570,Internal Audit,7,266.49,Yes,32.98,Yes,High,Malicious,Partially Encrypted,Yes,Yes,-45.28,40,69.78,Immediately,Email
2014-05-18,Marriott,Russia,Technology,Weak Passwords,Passwords,2433454,Weak Passwords,Security Patch,Cloud Misconfig,1437,Law Enforcement,96,338.02,No,2.33,No,Low,Accidental,Partially Encrypted,No,No,-34.55,28,104.22,Immediately,SMS
2017-01-02,Equifax,Australia,Telecom,Insider Threat,"Passwords, Medical Records, Usernames",8638065,Insider Threat,Security Patch,Web Exploit,3415,Security Tool,3,244.68,No,26.51,Yes,Low,None,Encrypted,No,Yes,-47.2,48,82.03,Delayed,SMS
